| Num of exp | xml | seed | controller
| ---- | ---- | ---- | ----
| 0 | Robotfiles/automodegianduja_decision_visu_95415.xml | 95415 | epuck_nn_controller
| 1 | Robotfiles/automodegianduja_decision_visu_96043.xml | 96043 | epuck_nn_controller
| 2 | Robotfiles/automodegianduja_decision_visu_37383.xml | 37383 | automode_gianduja
| 3 | Robotfiles/automodegianduja_decision_visu_51028.xml | 51028 | epuck_nn_controller
| 4 | Robotfiles/automodegianduja_decision_visu_95415.xml | 95415 | automode_gianduja
| 5 | Robotfiles/automodegianduja_decision_visu_37383.xml | 37383 | automode_controller
| 6 | Robotfiles/automodegianduja_decision_visu_98128.xml | 98128 | automode_controller
| 7 | Robotfiles/automodegianduja_decision_visu_9221.xml | 9221 | automode_gianduja
| 8 | Robotfiles/automodegianduja_decision_visu_51028.xml | 51028 | automode_gianduja
| 9 | Robotfiles/automodegianduja_decision_visu_5081.xml | 5081 | automode_gianduja
| 10 | Robotfiles/automodegianduja_decision_visu_28832.xml | 28832 | automode_controller
| 11 | Robotfiles/automodegianduja_decision_visu_78246.xml | 78246 | epuck_nn_controller
| 12 | Robotfiles/automodegianduja_decision_visu_34385.xml | 34385 | automode_gianduja
| 13 | Robotfiles/automodegianduja_decision_visu_5081.xml | 5081 | automode_controller
| 14 | Robotfiles/automodegianduja_decision_visu_9221.xml | 9221 | automode_controller
| 15 | Robotfiles/automodegianduja_decision_visu_9221.xml | 9221 | epuck_nn_controller
| 16 | Robotfiles/automodegianduja_decision_visu_98128.xml | 98128 | epuck_nn_controller
| 17 | Robotfiles/automodegianduja_decision_visu_78246.xml | 78246 | automode_gianduja
| 18 | Robotfiles/automodegianduja_decision_visu_95415.xml | 95415 | automode_controller
| 19 | Robotfiles/automodegianduja_decision_visu_5081.xml | 5081 | epuck_nn_controller
| 20 | Robotfiles/automodegianduja_decision_visu_96043.xml | 96043 | automode_controller
| 21 | Robotfiles/automodegianduja_decision_visu_34385.xml | 34385 | epuck_nn_controller
| 22 | Robotfiles/automodegianduja_decision_visu_28832.xml | 28832 | automode_gianduja
| 23 | Robotfiles/automodegianduja_decision_visu_96043.xml | 96043 | automode_gianduja
| 24 | Robotfiles/automodegianduja_decision_visu_34385.xml | 34385 | automode_controller
| 25 | Robotfiles/automodegianduja_decision_visu_78246.xml | 78246 | automode_controller
| 26 | Robotfiles/automodegianduja_decision_visu_98128.xml | 98128 | automode_gianduja
| 27 | Robotfiles/automodegianduja_decision_visu_51028.xml | 51028 | automode_controller
| 28 | Robotfiles/automodegianduja_decision_visu_28832.xml | 28832 | epuck_nn_controller
| 29 | Robotfiles/automodegianduja_decision_visu_37383.xml | 37383 | epuck_nn_controller
